[05/01/2023 16:21]  System: WorldMap loading...
[05/01/2023 16:39]  Razor: [+Magic Resist Potion (120s)]
[05/01/2023 16:40]  System: X Johny Walker X has completed the achievement: Guardian of Shadowspire (Basic).
[05/01/2023 16:41]  System: Mezzo has completed the achievement: Artificer (Basic).
[05/01/2023 16:41]  Razor: [Harmful Target]
[05/01/2023 16:41]  Razor: [Beneficial Target]
[05/01/2023 16:41]  Razor: [Last Target]
[05/01/2023 16:41]  System: You may now use a strength potion.
[05/01/2023 16:41]  System: Your strength has changed by -20.  It is now 100
[05/01/2023 16:41]  Razor: [-Strength (s)]
[05/01/2023 16:41]  Razor: Str: -20 - 100
[05/01/2023 16:41]  a wolf: a wolf
[05/01/2023 16:41]  [Guild][Plasma]: i dont have ikt
[05/01/2023 16:41]  System: Yabro has completed the achievement: Triggered (Basic).
[05/01/2023 16:42]  System: Your magic resist potion has worn off.
[05/01/2023 16:42]  Razor: [-Magic Resist Potion (s)]
[05/01/2023 16:42]  [Guild][Vesar the mage]: yeah
[05/01/2023 16:44]  Stink Fist: The food is paltry and is barely satisfying.
[05/01/2023 16:44]  Razor: [-Food Satisfaction (s)]
[05/01/2023 16:44]  Razor: [+Food Satisfaction (3600s)]
[05/01/2023 16:44]  System: Mirazel has completed the achievement: Guardian of Pulma (Basic).
[05/01/2023 16:44]  System: Blackcomb has completed the achievement: Skinner (Basic).
[05/01/2023 16:44]  a forest ostard: a forest ostard
[05/01/2023 16:45]  System: [SR] A Stygian Rifts event will begin in 15 minutes. Players may sign up in the Arena at the Stygian Rift section of the region. Type [BattleHotbar to view the Battle Hotbar for this event.
[05/01/2023 16:45]  [Guild][Shakula]: Deposid 1,4 M for my link if you are able to give it Morg?
[05/01/2023 16:45]  System: The world will save in 15 seconds.
[05/01/2023 16:45]  [Guild][Vesar the mage]: gona be semi afk , wfh
[05/01/2023 16:45]  System: The world is saving, please wait.
[05/01/2023 16:45]  System: World save complete. The entire process took 3.8 seconds.
[05/01/2023 16:46]  Razor: [Harmful Target]
[05/01/2023 16:46]  Razor: [Beneficial Target]
[05/01/2023 16:46]  Razor: [Last Target]
[05/01/2023 16:46]  a wolf: a wolf
[05/01/2023 16:46]  [Guild][Shakula]: Won one from NC also, so 2 gold in a couple of days :)
[05/01/2023 16:46]  System: Vostro has completed the achievement: Daemonic Slayer (Epic).
[05/01/2023 16:48]  [Guild][Zepar]: anyone selling iron comms?
[05/01/2023 16:48]  [Guild][Stitchface]: yeah sure
[05/01/2023 16:48]  [Guild][Stitchface]: 80k
[05/01/2023 16:48]  [Guild][Stitchface]: 7 available
[05/01/2023 16:48]  [Guild][Stitchface]: well 6 actually. i need to keep some
[05/01/2023 16:48]  [Guild][Zepar]: have anymore dull for sale
[05/01/2023 16:48]  [Guild][Stitchface]: sure 1 dull comm available
[05/01/2023 16:48]  [Guild][Zepar]: ill take the 6 btw
[05/01/2023 16:48]  [Guild][Stitchface]: kk and 1 dull comm?
[05/01/2023 16:48]  [Guild][Zepar]: and that :P
[05/01/2023 16:49]  System: Krotaenn has completed the achievement: Blacksmith (Basic).
[05/01/2023 16:49]  Razor: [Harmful Target]
[05/01/2023 16:49]  Razor: [Beneficial Target]
[05/01/2023 16:49]  Razor: [Last Target]
[05/01/2023 16:49]  a wolf: a wolf
[05/01/2023 16:49]  [Guild][Zepar]: how much for the dull?
[05/01/2023 16:49]  System: Guy Ordinary has completed the achievement: Guardian of Mount Petram (Basic).
[05/01/2023 16:49]  [Guild][Stitchface]: 525,000
[05/01/2023 16:50]  [Guild][Zepar]: im at gh
[05/01/2023 16:50]  : You are not allowed to access this.
[05/01/2023 16:50]  [Guild][Zepar]: thats total?
[05/01/2023 16:50]  Stink Fist: The food is delectable and is intensely satisfying.
[05/01/2023 16:50]  Razor: [-Food Satisfaction (s)]
[05/01/2023 16:50]  Razor: [+Food Satisfaction (3600s)]
[05/01/2023 16:51]  [Guild][Stitchface]: ty btw
[05/01/2023 16:51]  [Guild][Stitchface]: yeah that's the total
[05/01/2023 16:51]  [Guild][Zepar]: no ty
[05/01/2023 16:51]  [Guild][Zepar]: i need someone to buy these gold links
[05/01/2023 16:51]  [Guild][Stitchface]: dew is looking for a gold link
[05/01/2023 16:51]  [Guild][Stitchface]: which ones?
[05/01/2023 16:52]  [Guild][Zepar]: one is junk i think
[05/01/2023 16:52]  [Guild][Stitchface]: that's what he needs to buy
[05/01/2023 16:52]  [Guild][Zepar]: effective resist
[05/01/2023 16:52]  a forest ostard: a forest ostard
[05/01/2023 16:52]  [Guild][Zepar]: poison dmg resist
[05/01/2023 16:52]  System: Your skill in Tactics has decreased by 29.0.  It is now 100.0.
[05/01/2023 16:52]  Stink Fist: Kal Ort Por [Recall]
[05/01/2023 16:52]  System: Your spellbook generates mana for your spell.
[05/01/2023 16:52]  System: You are now under the protection of the town guards.
[05/01/2023 16:52]  Rosaline: Rosaline the waiter
[05/01/2023 16:52]  Kerastanto: Kerastanto (Young)
[05/01/2023 16:52]  Durty McGurty: Triggered
[05/01/2023 16:52]  Durty McGurty: [612]
[05/01/2023 16:52]  Durty McGurty: Durty McGurty
[05/01/2023 16:52]  Shido: Shido (Young)
[05/01/2023 16:52]  The niCe: [Branch Bucker, LOGZ]
[05/01/2023 16:52]  The niCe: The niCe
[05/01/2023 16:52]  Xristoffer: Xristoffer (Young)
[05/01/2023 16:52]  FSisGOAT: (tame)
[05/01/2023 16:52]  FSisGOAT: FSisGOAT
[05/01/2023 16:52]  Lukivas: Lukivas (Young)
[05/01/2023 16:52]  Wijdan: Wijdan the mapmaker
[05/01/2023 16:52]  Tai: Tai the fisherman
[05/01/2023 16:52]  Meg: Meg the bowyer
[05/01/2023 16:52]  Madelyn: Madelyn the shipwright
[05/01/2023 16:52]  Jordan: Jordan the beggar
[05/01/2023 16:52]  Merde: [Officer, OA]
[05/01/2023 16:52]  Merde: Merde
[05/01/2023 16:52]  Kenelm: Kenelm the tavern keeper
[05/01/2023 16:52]  Mirandor: Mirandor (Young)
[05/01/2023 16:52]  Bly: Bly the fisherman
[05/01/2023 16:52]  Lene: Lene the salvage foreman
[05/01/2023 16:52]  Carlton: Carlton the stablemaster
[05/01/2023 16:52]  Joseph Strummher: Joseph Strummher (Young)
[05/01/2023 16:53]  a cave bear: *released*
[05/01/2023 16:53]  a cave bear: a cave bear
[05/01/2023 16:53]  Beors: Beors (Young)
[05/01/2023 16:53]  Zann: Zann the Necromancer
[05/01/2023 16:53]  Sherwin: Sherwin the mage
[05/01/2023 16:53]  Zara: Zara the scribe
[05/01/2023 16:53]  Knoxville: Knoxville
[05/01/2023 16:53]  Kasinda: Kasinda the alchemist
[05/01/2023 16:53]  Fuller: Fuller the barkeep
[05/01/2023 16:53]  Merde: [Officer, OA]
[05/01/2023 16:53]  Merde: Merde
[05/01/2023 16:53]  Jayne: Jayne the innkeeper
[05/01/2023 16:53]  SloanDawg: SloanDawg
[05/01/2023 16:53]  Zlender: Zlender
[05/01/2023 16:53]  Lorian of Izra: Lifetime Guild
[05/01/2023 16:53]  Lorian of Izra: [-_-]
[05/01/2023 16:53]  Lorian of Izra: Lorian of Izra
[05/01/2023 16:53]  Amaranth: Amaranth
[05/01/2023 16:53]  Giles: Giles the thief
[05/01/2023 16:53]  Marti: Marti the healer
[05/01/2023 16:53]  Dusty: Dusty the cook
[05/01/2023 16:53]  Hexlar: Shadowspire Guardian
[05/01/2023 16:53]  Hexlar: [Unit, DPS]
[05/01/2023 16:53]  Hexlar: Lord Hexlar
[05/01/2023 16:53]  Septimus: Versatile
[05/01/2023 16:53]  Septimus: [Guardian, Myth]
[05/01/2023 16:53]  Septimus: Septimus
[05/01/2023 16:53]  Kennedy: Kennedy the guard
[05/01/2023 16:53]  Joe Owner: [Recruit, EVIL]
[05/01/2023 16:53]  Joe Owner: Joe Owner
[05/01/2023 16:53]  Geminis: Geminis (Young)
[05/01/2023 16:53]  a colossal frog: (tame)
[05/01/2023 16:53]  a colossal frog: a colossal frog
[05/01/2023 16:53]  Septimus: Join [Myth] and help us destroy the evil that plagues our lands.
[05/01/2023 16:53]  [Guild][Shakula]: Morrigann, should I wait for the link?
[05/01/2023 16:53]  Hexlar: Dopamine Per Second [DPS] is recruiting players with a good attitude who want to build a fun group!
[05/01/2023 16:53]  Artiom: *released*
[05/01/2023 16:53]  Artiom: Artiom
[05/01/2023 16:53]  a great hart: a great hart
[05/01/2023 16:53]  an eagle: an eagle
[05/01/2023 16:53]  a hind: a hind
[05/01/2023 16:53]  System: You have left the protection of the town guards.
[05/01/2023 16:53]  Stink Fist: Your mount finds a quiet place to rest safely.
[05/01/2023 16:53]  You see: a wounded harpy corpse
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  You see: a giant rat corpse
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  You see: the remains of Neon Noir.
[05/01/2023 16:53]  Jayann: [Ratman, RAT]
[05/01/2023 16:53]  Jayann: Jayann
[05/01/2023 16:53]  Roffle: Roffle
[05/01/2023 16:53]  Alcoholic Prime: [Recruit, CFC]
[05/01/2023 16:53]  Alcoholic Prime: Alcoholic Prime
[05/01/2023 16:53]  King Slug: King Slug (Young)
[05/01/2023 16:53]  VireX: VireX (Young)
[05/01/2023 16:53]  Osbourne Bly: [Beard Brother, BB]
[05/01/2023 16:53]  Osbourne Bly: Osbourne Bly
[05/01/2023 16:53]  Fitz: Shadowspire Legend
[05/01/2023 16:53]  Fitz: [CFC]
[05/01/2023 16:53]  Fitz: Lord Fitz
[05/01/2023 16:53]  a mongbat: a mongbat
[05/01/2023 16:53]  a water elemental: (summoned)
[05/01/2023 16:53]  a water elemental: a water elemental
[05/01/2023 16:53]  JoesTHOTS: Triggered
[05/01/2023 16:53]  JoesTHOTS: [Knight, C-C]
[05/01/2023 16:53]  JoesTHOTS: JoesTHOTS
[05/01/2023 16:53]  Ztrekenfosh: Ztrekenfosh
[05/01/2023 16:53]  Glavos the Guard: [Knight, Sir.]
[05/01/2023 16:53]  Glavos the Guard: Glavos the Guard
[05/01/2023 16:53]  Kerata: Kerata (Young)
[05/01/2023 16:53]  StruGgleSnuGgler: Legendarily Triggered
[05/01/2023 16:53]  StruGgleSnuGgler: [Fixer, MMx]
[05/01/2023 16:53]  StruGgleSnuGgler: Lord StruGgleSnuGgler
[05/01/2023 16:53]  Brutalio: Brutalio
[05/01/2023 16:53]  System: You are currently prevented from performing criminal looting actions.
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  You see: a rotting corpse
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  You see: a giant rat corpse
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  a mongbat: a mongbat
[05/01/2023 16:53]  You see: a giant rat corpse
[05/01/2023 16:53]  You see: the remains of Dob MapuxyaH
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  You see: a giant rat corpse
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  a zombie: a zombie
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  You see: a giant rat corpse
[05/01/2023 16:53]  You see: a giant rat corpse
[05/01/2023 16:53]  a mongbat: a mongbat
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  You see: a headless corpse
[05/01/2023 16:53]  Roffle: *focuses aggression*
[05/01/2023 16:53]  a mongbat: *taunted*
[05/01/2023 16:53]  You see: a headless corpse
[05/01/2023 16:53]  Razor: World save coming soon..
[05/01/2023 16:53]  System: New target set.
[05/01/2023 16:53]  Razor: Target: a mongbat
[05/01/2023 16:53]  Razor: found no one
[05/01/2023 16:53]  Alcoholic Prime: [Recruit, CFC]
[05/01/2023 16:53]  Alcoholic Prime: Alcoholic Prime
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  Roffle: *focuses aggression*
[05/01/2023 16:53]  Razor: Waiting for world save...
[05/01/2023 16:53]  Razor: Save complete - continue on!
[05/01/2023 16:53]  System: No one matching that was found on your screen.
[05/01/2023 16:53]  Razor: found no one
[05/01/2023 16:53]  Razor: Loading hotbar
[05/01/2023 16:53]  System: Your skill in Tactics has increased by 29.0.  It is now 129.0.
[05/01/2023 16:53]  Roffle: *focuses aggression*
[05/01/2023 16:53]  System: No one matching that was found on your screen.
[05/01/2023 16:53]  Razor: found no one
[05/01/2023 16:53]  Roffle: *focuses aggression*
[05/01/2023 16:53]  System: No one matching that was found on your screen.
[05/01/2023 16:53]  Razor: found no one
[05/01/2023 16:53]  Roffle: *focuses aggression*
[05/01/2023 16:53]  Drawback: Drawback
[05/01/2023 16:53]  System: No one matching that was found on your screen.
[05/01/2023 16:53]  Razor: found no one
[05/01/2023 16:53]  Roffle: *focuses aggression*
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  System: New target set.
[05/01/2023 16:53]  Razor: Target: a mongbat
[05/01/2023 16:53]  System: You may not loot this corpse.
[05/01/2023 16:53]  You see: a rotting corpse
[05/01/2023 16:53]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:53]  Roffle: *focuses aggression*
[05/01/2023 16:53]  You see: a colossal frog corpse
[05/01/2023 16:53]  You see: a skeletal corpse
[05/01/2023 16:53]  You see: a headless corpse
[05/01/2023 16:53]  You see: a headless corpse
[05/01/2023 16:53]  You see: a skeletal corpse
[05/01/2023 16:53]  You see: a skeletal corpse
[05/01/2023 16:53]  You see: a headless corpse
[05/01/2023 16:53]  You see: a headless corpse
[05/01/2023 16:53]  Roffle: *focuses aggression*
[05/01/2023 16:53]  System: No one matching that was found on your screen.
[05/01/2023 16:53]  Razor: found no one
[05/01/2023 16:53]  You see: a colossal frog corpse
[05/01/2023 16:53]  a corpser: a corpser
[05/01/2023 16:53]  You see: a skeletal corpse
[05/01/2023 16:53]  System: You may not loot this corpse.
[05/01/2023 16:53]  System: Opening door...
[05/01/2023 16:53]  Neon Noir.: Neon Noir. (Young)
[05/01/2023 16:53]  You see: a mongbat corpse
[05/01/2023 16:53]  System: What do you wish to carve, investigate, or research?
[05/01/2023 16:53]  System: You carve materials from the corpse.
[05/01/2023 16:53]  System: No one matching that was found on your screen.
[05/01/2023 16:53]  Razor: found no one
[05/01/2023 16:53]  System: You may not loot this corpse.
[05/01/2023 16:53]  You see: a skeletal corpse
[05/01/2023 16:53]  System: You are currently prevented from performing criminal looting actions.
[05/01/2023 16:53]  You see: a skeletal corpse
[05/01/2023 16:53]  You see: a giant rat corpse
[05/01/2023 16:53]  You see: the remains of Islamisthetruth
[05/01/2023 16:53]  You see: a skeletal corpse
[05/01/2023 16:53]  You see: a giant rat corpse
[05/01/2023 16:53]  You see: a giant rat corpse
[05/01/2023 16:54]  You see: a giant rat corpse
[05/01/2023 16:54]  a giant rat: a giant rat
[05/01/2023 16:54]  ShootGooInYou: ShootGooInYou
[05/01/2023 16:54]  System: You carve materials from the corpse.
[05/01/2023 16:54]  System: No one matching that was found on your screen.
[05/01/2023 16:54]  Razor: found no one
[05/01/2023 16:54]  System: Opening door...
[05/01/2023 16:54]  System: You may not loot this corpse. [3]
[05/01/2023 16:54]  a zombie: a zombie
[05/01/2023 16:54]  System: What do you wish to carve, investigate, or research?
[05/01/2023 16:54]  a zombie: a zombie
[05/01/2023 16:54]  You see: a rotting corpse
[05/01/2023 16:54]  You see: a rotting corpse
[05/01/2023 16:54]  System: You carve materials from the corpse.
[05/01/2023 16:54]  a scorpion: a scorpion
[05/01/2023 16:54]  Kerata: Kerata (Young)
[05/01/2023 16:54]  StruGgleSnuGgler: Legendarily Triggered
[05/01/2023 16:54]  StruGgleSnuGgler: [Fixer, MMx]
[05/01/2023 16:54]  StruGgleSnuGgler: Lord StruGgleSnuGgler
[05/01/2023 16:54]  Brutalio: Brutalio
[05/01/2023 16:54]  System: Opening door... [2]
[05/01/2023 16:54]  System: You may not loot this corpse. [2]
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: Target: a giant rat
[05/01/2023 16:54]  System: You are currently prevented from performing criminal looting actions. [2]
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  Razor: Attack: a giant rat
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: Holy symbols remaining: 9/10
[05/01/2023 16:54]  a giant rat: a giant rat
[05/01/2023 16:54]  a mongbat: a mongbat
[05/01/2023 16:54]  a mongbat: a mongbat
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼ OUT OF RANGE ▼ ●
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: Target: a zombie
[05/01/2023 16:54]  a zombie: a zombie
[05/01/2023 16:54]  a zombie: a zombie
[05/01/2023 16:54]  Razor: Attack: a zombie
[05/01/2023 16:54]  Stink Fist: -7
[05/01/2023 16:54]  System: Your strike disarms your target!
[05/01/2023 16:54]  a zombie: -75
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: ● ▼▼ HERE ▼▼ ●
[05/01/2023 16:54]  Razor: chug
[05/01/2023 16:54]  System: Your dexterity has changed by 20.  It is now 120
[05/01/2023 16:54]  Razor: [+Agility (120s)]
[05/01/2023 16:54]  Razor: Dex: +20 - 120
[05/01/2023 16:54]  Razor: [-Agility (s)]
[05/01/2023 16:54]  Razor: [+Agility (120s)]
[05/01/2023 16:54]  Razor: chug refresh
[05/01/2023 16:54]  Razor: chug
[05/01/2023 16:54]  a zombie: -34
[05/01/2023 16:54]  Razor: Divine Fury
[05/01/2023 16:54]  System: Divine Fury
[05/01/2023 16:54]  System: Holy symbols remaining: 5/10
[05/01/2023 16:54]  System: Your strength has changed by 20.  It is now 120
[05/01/2023 16:54]  Razor: [+Strength (120s)]
[05/01/2023 16:54]  Razor: Str: +20 - 120
[05/01/2023 16:54]  Razor: [-Strength (s)]
[05/01/2023 16:54]  Razor: [+Strength (120s)]
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  System: Who will you use the bandages on?
[05/01/2023 16:54]  System: You begin applying the bandages.
[05/01/2023 16:54]  Razor: Bandage: 10s
[05/01/2023 16:54]  Razor: ● ▼▼ HERE ▼▼ ●
[05/01/2023 16:54]  a zombie: -54
[05/01/2023 16:54]  System: Finished 4 queued actions in 1.8 seconds.
[05/01/2023 16:54]  Stink Fist: -3
[05/01/2023 16:54]  System: Your fingers slip!
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: Bandage: 9s
[05/01/2023 16:54]  a zombie: -66
[05/01/2023 16:54]  System: New target set.
[05/01/2023 16:54]  Razor: Bandage: 8s
