[01/06/2022 13:38]  System: WorldMap loading...
[01/06/2022 13:40]  Feral Voidlash: [Precious Baby Snowflake, DTF]
[01/06/2022 13:40]  Feral Voidlash: Lady Feral Voidlash
[01/06/2022 13:40]  Resourcefull: (tame)
[01/06/2022 13:40]  Resourcefull: [220/2000 stones]
[01/06/2022 13:40]  Resourcefull: Resourcefull
[01/06/2022 13:40]  Pontiac-: [Recruit, 1CE]
[01/06/2022 13:40]  Pontiac-: Pontiac-
[01/06/2022 13:40]  Brits: Summoner
[01/06/2022 13:40]  Brits: [Officer, SQzD]
[01/06/2022 13:40]  Brits: Lady Brits
[01/06/2022 13:40]  Tupac: Legendarily Triggered
[01/06/2022 13:40]  Tupac: [Cn]
[01/06/2022 13:40]  Tupac: Lord Tupac
[01/06/2022 13:40]  a mongbat: a mongbat
[01/06/2022 13:40]  Kelemvor: [N*Q]
[01/06/2022 13:40]  Kelemvor: Kelemvor
[01/06/2022 13:40]  Voina: [Recruit, -_-]
[01/06/2022 13:40]  Voina: Voina
[01/06/2022 13:40]  a llama: (bonded)
[01/06/2022 13:40]  a llama: a llama
[01/06/2022 13:40]  a zombie: a zombie
[01/06/2022 13:40]  a zombie: a zombie
[01/06/2022 13:40]  System: You may not loot this corpse.
[01/06/2022 13:40]  a mongbat: a mongbat
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  You see: a giant rat corpse
[01/06/2022 13:40]  a giant rat: a giant rat
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  a mongbat: a mongbat
[01/06/2022 13:40]  a mongbat: a mongbat
[01/06/2022 13:40]  a mongbat: a mongbat
[01/06/2022 13:40]  Zentraedi: Zentraedi (Young)
[01/06/2022 13:40]  a mongbat: a mongbat
[01/06/2022 13:40]  You see: an orc corpse
[01/06/2022 13:40]  You see: a giant frog corpse
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  a harpy: *looks calmed*
[01/06/2022 13:40]  Lerooooy: Lerooooy (Young)
[01/06/2022 13:40]  You see: a giant frog corpse
[01/06/2022 13:40]  You see: a headless corpse
[01/06/2022 13:40]  a colossal frog: (tame)
[01/06/2022 13:40]  a colossal frog: a colossal frog
[01/06/2022 13:40]  You see: an orc corpse
[01/06/2022 13:40]  You see: a skeletal corpse
[01/06/2022 13:40]  You see: a headless corpse
[01/06/2022 13:40]  You see: a headless corpse
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  Dreki: Dreki (Young)
[01/06/2022 13:40]  You see: a giant frog corpse
[01/06/2022 13:40]  You see: a headless corpse
[01/06/2022 13:40]  You see: a skeletal corpse
[01/06/2022 13:40]  yuse: yuse (Young)
[01/06/2022 13:40]  You see: a headless corpse
[01/06/2022 13:40]  You see: a colossal frog corpse
[01/06/2022 13:40]  You see: a corpser corpse
[01/06/2022 13:40]  You see: an orc corpse
[01/06/2022 13:40]  You see: a giant rat corpse
[01/06/2022 13:40]  You see: a headless corpse
[01/06/2022 13:40]  You see: a harpy corpse
[01/06/2022 13:40]  You see: a giant bat corpse
[01/06/2022 13:40]  System: Opening door...
[01/06/2022 13:40]  You see: a giant bat corpse
[01/06/2022 13:40]  a giant bat: a giant bat
[01/06/2022 13:40]  You see: a headless corpse
[01/06/2022 13:40]  You see: a giant frog corpse
[01/06/2022 13:40]  You see: a corpser corpse
[01/06/2022 13:40]  You see: a corpser corpse
[01/06/2022 13:40]  a headless: a headless
[01/06/2022 13:40]  a mongbat: a mongbat
[01/06/2022 13:40]  System: You may not loot this corpse.
[01/06/2022 13:40]  System: You smash through the remainder of their armor, dealing grevious damage!
[01/06/2022 13:40]  System: You have gained a little fame.
[01/06/2022 13:40]  System: You have gained a little karma.
[01/06/2022 13:40]  System: -94
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  System: You may not loot this corpse.
[01/06/2022 13:40]  System: [GridLoot]: Corpse is empty!
[01/06/2022 13:40]  a skeleton: a skeleton
[01/06/2022 13:40]  Razor: Attack: a mongbat
[01/06/2022 13:40]  a mongbat: -85
[01/06/2022 13:40]  Razor: Attack: a mongbat
[01/06/2022 13:40]  a harpy: *looks calmed*
[01/06/2022 13:40]  System: You have gained a little fame.
[01/06/2022 13:40]  System: You have gained a little karma.
[01/06/2022 13:40]  System: -9
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  a giant bat: a giant bat
[01/06/2022 13:40]  System: You smash through the remainder of their armor, dealing grevious damage!
[01/06/2022 13:40]  System: [GridLoot]: Corpse is empty!
[01/06/2022 13:40]  Razor: Attack: a mongbat
[01/06/2022 13:40]  Razor: Attack: a mongbat
[01/06/2022 13:40]  Razor: Attack: a giant rat
[01/06/2022 13:40]  a corpser: a corpser
[01/06/2022 13:40]  a giant bat: a giant bat
[01/06/2022 13:40]  System: Opening door...
[01/06/2022 13:40]  a harpy: *looks calmed*
[01/06/2022 13:40]  System: You may not loot this corpse.
[01/06/2022 13:40]  Razor: Attack: a giant rat
[01/06/2022 13:40]  System: You smash through the remainder of their armor, dealing grevious damage!
[01/06/2022 13:40]  a giant rat: -85
[01/06/2022 13:40]  System: You have gained a little fame.
[01/06/2022 13:40]  System: You have gained a little karma.
[01/06/2022 13:40]  System: -40
[01/06/2022 13:40]  You see: a giant rat corpse
[01/06/2022 13:40]  System: What corpse or location do you wish to carve?
[01/06/2022 13:40]  Razor: Target: Rabbi Tuckman
[01/06/2022 13:40]  System: You carve materials from the corpse.
[01/06/2022 13:40]  System: You will receive +2.0% damage to creatures, +0.8% damage to players, and +0.8 to barding skills (expires in 3h).
[01/06/2022 13:40]  System: You may not loot this corpse.
[01/06/2022 13:40]  System: You will receive +4.0% damage to creatures, +1.6% damage to players, and +1.6 to barding skills (expires in 3h).
[01/06/2022 13:40]  Razor: [+Forensic Eval Bonus (10800s)]
[01/06/2022 13:40]  Razor: [-Forensic Eval Bonus (s)]
[01/06/2022 13:40]  Razor: [+Forensic Eval Bonus (10800s)]
[01/06/2022 13:40]  System: [GridLoot]: Corpse is empty!
[01/06/2022 13:40]  System: You carve materials from the corpse.
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  a headless: a headless
[01/06/2022 13:40]  Tupac: Legendarily Triggered
[01/06/2022 13:40]  Tupac: [Cn]
[01/06/2022 13:40]  Tupac: Lord Tupac
[01/06/2022 13:40]  You see: a headless corpse
[01/06/2022 13:40]  a skeleton: a skeleton
[01/06/2022 13:40]  a harpy: *looks calmed*
[01/06/2022 13:40]  System: What corpse or location do you wish to carve?
[01/06/2022 13:40]  System: You will receive +6.0% damage to creatures, +2.4% damage to players, and +2.4 to barding skills (expires in 3h).
[01/06/2022 13:40]  System: You will receive +8.0% damage to creatures, +3.2% damage to players, and +3.2 to barding skills (expires in 3h).
[01/06/2022 13:40]  System: You may not loot this corpse.
[01/06/2022 13:40]  System: You will receive +10.0% damage to creatures, +4.0% damage to players, and +4.0 to barding skills (expires in 3h).
[01/06/2022 13:40]  System: You will receive +12.0% damage to creatures, +4.8% damage to players, and +4.8 to barding skills (expires in 3h).
[01/06/2022 13:40]  Razor: [-Forensic Eval Bonus (s)]
[01/06/2022 13:40]  Razor: [+Forensic Eval Bonus (10800s)]
[01/06/2022 13:40]  Razor: [-Forensic Eval Bonus (s)]
[01/06/2022 13:40]  Razor: [+Forensic Eval Bonus (10800s)]
[01/06/2022 13:40]  Razor: [-Forensic Eval Bonus (s)]
[01/06/2022 13:40]  Razor: [+Forensic Eval Bonus (10800s)]
[01/06/2022 13:40]  Razor: [-Forensic Eval Bonus (s)]
[01/06/2022 13:40]  Razor: [+Forensic Eval Bonus (10800s)]
[01/06/2022 13:40]  System: You carve materials from the corpse. [4]
[01/06/2022 13:40]  System: [GridLoot]: Corpse is empty!
[01/06/2022 13:40]  System: You may not loot this corpse.
[01/06/2022 13:40]  System: [GridLoot]: Corpse is empty!
[01/06/2022 13:40]  a giant bat: a giant bat
[01/06/2022 13:40]  System: Opening door...
[01/06/2022 13:40]  a harpy: a harpy
[01/06/2022 13:40]  a giant bat: a giant bat
[01/06/2022 13:40]  System: You may not loot this corpse.
[01/06/2022 13:40]  System: What corpse or location do you wish to carve?
[01/06/2022 13:40]  yuse: yuse (Young)
[01/06/2022 13:40]  System: You carve materials from the corpse.
[01/06/2022 13:40]  System: You will receive +14.0% damage to creatures, +5.6% damage to players, and +5.6 to barding skills (expires in 3h).
[01/06/2022 13:40]  Razor: [-Forensic Eval Bonus (s)]
[01/06/2022 13:40]  Razor: [+Forensic Eval Bonus (10800s)]
[01/06/2022 13:40]  a giant bat: a giant bat
[01/06/2022 13:40]  a harpy: a harpy
[01/06/2022 13:40]  Amish Hammer: [The Farmer, L%C]
[01/06/2022 13:40]  Amish Hammer: Amish Hammer
[01/06/2022 13:40]  Brits: Summoner
[01/06/2022 13:40]  Brits: [Officer, SQzD]
[01/06/2022 13:40]  Brits: Lady Brits
[01/06/2022 13:40]  System: You may not loot this corpse.
[01/06/2022 13:40]  Resourcefull: (tame)
[01/06/2022 13:40]  Resourcefull: [220/2000 stones]
[01/06/2022 13:40]  Resourcefull: Resourcefull
[01/06/2022 13:40]  System: Opening door...
[01/06/2022 13:40]  Robert Lee: Domesticator
[01/06/2022 13:40]  Robert Lee: Robert Lee
[01/06/2022 13:40]  Feral Voidlash: [Precious Baby Snowflake, DTF]
[01/06/2022 13:40]  Feral Voidlash: Lady Feral Voidlash
[01/06/2022 13:40]  Pontiac-: [Recruit, 1CE]
[01/06/2022 13:40]  Pontiac-: Pontiac-
[01/06/2022 13:40]  System: That is too far away.
[01/06/2022 13:41]  DonJuanPunch: [Lieutenant, Ymir]
[01/06/2022 13:41]  DonJuanPunch: Lord DonJuanPunch
[01/06/2022 13:41]  Zentraedi: Zentraedi (Young)
[01/06/2022 13:41]  You see: a mongbat corpse
[01/06/2022 13:41]  a mongbat: a mongbat
[01/06/2022 13:41]  a mongbat: a mongbat
[01/06/2022 13:41]  a mongbat: a mongbat
[01/06/2022 13:41]  a giant bat: a giant bat
[01/06/2022 13:41]  System: You may not loot this corpse.
[01/06/2022 13:41]  Razor: Attack: a giant bat
[01/06/2022 13:41]  System: That is too far away. [2]
[01/06/2022 13:41]  a giant bat: -44
[01/06/2022 13:41]  a harpy: *looks calmed*
[01/06/2022 13:41]  a giant bat: -41
[01/06/2022 13:41]  Rabbi Tuckman: -6
[01/06/2022 13:41]  System: The creature strikes ferociously, causing you to bleed!
[01/06/2022 13:41]  Razor: [+Bleed (15s)]
[01/06/2022 13:41]  a giant bat: a giant bat
[01/06/2022 13:41]  System: What do you wish to track?
[01/06/2022 13:41]  System: You will receive +0.0% damage to creatures, +0.0% damage to players, and +0.0 to barding skill while hunting.
[01/06/2022 13:41]  Rabbi Tuckman: You begin hunting.
[01/06/2022 13:41]  a harpy: *looks calmed*
[01/06/2022 13:41]  Rabbi Tuckman: -1
[01/06/2022 13:41]  Rabbi Tuckman: -1
[01/06/2022 13:41]  Razor: Attack: a giant bat
[01/06/2022 13:41]  a giant bat: a giant bat
[01/06/2022 13:41]  Rabbi Tuckman: -1
[01/06/2022 13:41]  a giant bat: -39
[01/06/2022 13:41]  Rabbi Tuckman: -5
[01/06/2022 13:41]  System: You have gained a little fame.
[01/06/2022 13:41]  System: You have gained a little karma.
[01/06/2022 13:41]  System: -1
[01/06/2022 13:41]  You see: a giant bat corpse
[01/06/2022 13:41]  Rabbi Tuckman: -1
[01/06/2022 13:41]  System: [GridLoot]: Corpse is empty!
[01/06/2022 13:41]  Rabbi Tuckman: -1
[01/06/2022 13:41]  Sandvik: Sandvik
[01/06/2022 13:41]  Razor: Attack: a giant bat
[01/06/2022 13:41]  a giant bat: -53
[01/06/2022 13:41]  Rabbi Tuckman: -1
[01/06/2022 13:41]  System: Playing Macro 'Healing'...
[01/06/2022 13:41]  System: Who will you use the bandages on?
[01/06/2022 13:41]  Razor: Healing Started
[01/06/2022 13:41]  System: You begin applying the bandages.
[01/06/2022 13:41]  Rabbi Tuckman: -2
[01/06/2022 13:41]  System: Your fingers slip!
[01/06/2022 13:41]  Rabbi Tuckman: -8
[01/06/2022 13:41]  Razor: Bandage: 1s
[01/06/2022 13:41]  Rabbi Tuckman: -1
[01/06/2022 13:41]  System: You are no longer bleeding.
[01/06/2022 13:41]  Razor: [-Bleed (s)]
[01/06/2022 13:41]  Razor: Bandage: 2s
[01/06/2022 13:41]  a giant bat: -41
[01/06/2022 13:41]  You see: a mongbat corpse
[01/06/2022 13:41]  Razor: Bandage: 3s
[01/06/2022 13:41]  Razor: Attack: a giant bat
[01/06/2022 13:41]  System: Your fingers slip!
[01/06/2022 13:41]  Razor: Bandage: 4s
[01/06/2022 13:41]  Razor: Bandage: 5s
[01/06/2022 13:41]  Razor: Attack: a giant bat
[01/06/2022 13:41]  Razor: Bandage: 6s
[01/06/2022 13:41]  Razor: Bandage: 7s
[01/06/2022 13:41]  Rabbi Tuckman: -6
[01/06/2022 13:41]  System: Your fingers slip!
[01/06/2022 13:41]  Razor: Bandage: 8s
[01/06/2022 13:41]  Razor: Bandage: 9s
[01/06/2022 13:41]  Razor: Bandage: 10s
[01/06/2022 13:41]  System: You finish applying the bandages.
[01/06/2022 13:41]  Rabbi Tuckman: +29
[01/06/2022 13:41]  Rabbi Tuckman: -6
[01/06/2022 13:41]  System: Who will you use the bandages on?
[01/06/2022 13:41]  Razor: Healing Started
[01/06/2022 13:41]  System: You begin applying the bandages.
[01/06/2022 13:41]  Durnehviir: Durnehviir (Young)
[01/06/2022 13:41]  Razor: Bandage: 1s
[01/06/2022 13:41]  System: Your campfire is now secure.
[01/06/2022 13:41]  System: You feel rested and comforted by the camp. (+17.5% damage to creatures and +7.0% damage to players).
[01/06/2022 13:41]  Razor: [+Campfire Visit (10800s)]
[01/06/2022 13:41]  Razor: Bandage: 2s
[01/06/2022 13:41]  System: You have gained a little fame.
[01/06/2022 13:41]  System: You have gained a little karma.
[01/06/2022 13:41]  System: -31
[01/06/2022 13:41]  You see: a giant bat corpse
[01/06/2022 13:41]  Rabbi Tuckman: -5
[01/06/2022 13:41]  Dishiki: Dishiki (Young)
[01/06/2022 13:41]  Razor: Bandage: 3s
[01/06/2022 13:41]  System: [GridLoot]: Corpse is empty!
[01/06/2022 13:41]  Razor: Bandage: 4s
[01/06/2022 13:41]  Razor: Attack: a harpy
[01/06/2022 13:41]  Marvolo: Marvolo (Young)
[01/06/2022 13:41]  a harpy: -61
[01/06/2022 13:41]  Razor: Bandage: 5s
[01/06/2022 13:41]  Razor: Bandage: 6s
[01/06/2022 13:41]  Razor: Attack: a harpy
[01/06/2022 13:41]  Razor: Bandage: 7s
[01/06/2022 13:41]  a harpy: -48
[01/06/2022 13:41]  Razor: Attack: a harpy
[01/06/2022 13:41]  Razor: Bandage: 8s
[01/06/2022 13:41]  Razor: Bandage: 9s
[01/06/2022 13:41]  Rabbi Tuckman: -2
[01/06/2022 13:41]  System: Your fingers slip!
[01/06/2022 13:41]  Razor: Attack: a harpy
[01/06/2022 13:41]  Razor: Bandage: 10s
[01/06/2022 13:41]  System: You finish applying the bandages.
[01/06/2022 13:41]  Rabbi Tuckman: +11
[01/06/2022 13:41]  System: You smash through the remainder of their armor, dealing grevious damage!
[01/06/2022 13:41]  a harpy: -104
[01/06/2022 13:41]  Razor: Attack: a harpy
[01/06/2022 13:41]  Razor: Attack: a harpy
[01/06/2022 13:41]  You see: a mongbat corpse
[01/06/2022 13:41]  Razor: Attack: a harpy
[01/06/2022 13:41]  Rabbi Tuckman: -10
[01/06/2022 13:41]  System: Who will you use the bandages on?
[01/06/2022 13:41]  Razor: Healing Started
[01/06/2022 13:41]  System: You begin applying the bandages.
[01/06/2022 13:41]  System: What corpse or location do you wish to carve?
[01/06/2022 13:41]  Razor: Bandage: 1s
[01/06/2022 13:41]  You see: a mongbat corpse
[01/06/2022 13:41]  System: You carve materials from the corpse.
[01/06/2022 13:41]  System: You will receive +16.0% damage to creatures, +6.4% damage to players, and +6.4 to barding skills (expires in 3h).
[01/06/2022 13:41]  System: You will receive +17.5% damage to creatures, +7.0% damage to players, and +7.0 to barding skills (expires in 3h).
[01/06/2022 13:41]  Razor: [-Forensic Eval Bonus (s)]
[01/06/2022 13:41]  Razor: [+Forensic Eval Bonus (10800s)]
[01/06/2022 13:41]  Razor: [-Forensic Eval Bonus (s)]
[01/06/2022 13:41]  Razor: [+Forensic Eval Bonus (10800s)]
[01/06/2022 13:41]  Razor: Bandage: 2s
[01/06/2022 13:41]  Razor: Bandage: 3s
[01/06/2022 13:41]  Durnehviir: Durnehviir (Young)
[01/06/2022 13:41]  System: [GridLoot]: Corpse is empty!
[01/06/2022 13:41]  Razor: Bandage: 4s
[01/06/2022 13:41]  System: You smash through the remainder of their armor, dealing grevious damage!
[01/06/2022 13:41]  System: You have gained a little fame.
[01/06/2022 13:41]  System: You have gained a little karma.
[01/06/2022 13:41]  System: -37
[01/06/2022 13:41]  You see: a harpy corpse
[01/06/2022 13:41]  System: [GridLoot]: Corpse is empty!
[01/06/2022 13:41]  System: You must wait to perform another action.
[01/06/2022 13:41]  Razor: Bandage: 5s
[01/06/2022 13:41]  System: You carve materials from the corpse.
[01/06/2022 13:41]  System: [GridLoot]: Corpse is empty!
[01/06/2022 13:41]  Razor: Bandage: 6s
[01/06/2022 13:41]  Razor: Bandage: 7s
[01/06/2022 13:41]  Razor: Bandage: 8s
[01/06/2022 13:41]  System: What corpse or location do you wish to carve?
[01/06/2022 13:41]  Razor: Bandage: 9s
[01/06/2022 13:41]  System: You carve materials from the corpse.
[01/06/2022 13:41]  Razor: [-Forensic Eval Bonus (s)]
[01/06/2022 13:41]  Razor: [+Forensic Eval Bonus (10800s)]
[01/06/2022 13:42]  System: You finish applying the bandages.
[01/06/2022 13:42]  Rabbi Tuckman: +8
[01/06/2022 13:42]  System: You will receive +17.5% damage to creatures, +7.0% damage to players, and +7.0 to barding skills (expires in 3h).
[01/06/2022 13:42]  You see: a giant bat corpse
[01/06/2022 13:42]  You see: a harpy corpse
[01/06/2022 13:42]  You see: a giant bat corpse
[01/06/2022 13:42]  You see: a corpser corpse
[01/06/2022 13:42]  a giant frog: a giant frog
[01/06/2022 13:42]  You see: a corpser corpse
[01/06/2022 13:42]  You see: a giant frog corpse
[01/06/2022 13:42]  You see: an orc corpse
[01/06/2022 13:42]  You see: a giant frog corpse
[01/06/2022 13:42]  You see: a corpser corpse
[01/06/2022 13:42]  You see: a harpy corpse
[01/06/2022 13:42]  You see: a colossal frog corpse
[01/06/2022 13:42]  You see: a giant frog corpse
[01/06/2022 13:42]  You see: an orc corpse
[01/06/2022 13:42]  System: Opening door...
[01/06/2022 13:42]  You see: an orc corpse
[01/06/2022 13:42]  You see: a skeletal corpse
[01/06/2022 13:42]  You see: a headless corpse
[01/06/2022 13:42]  You see: a headless corpse
[01/06/2022 13:42]  Lerooooy: Lerooooy (Young)
[01/06/2022 13:42]  a colossal frog: (tame)
[01/06/2022 13:42]  a colossal frog: a colossal frog
[01/06/2022 13:42]  You see: a giant frog corpse
[01/06/2022 13:42]  You see: a headless corpse
[01/06/2022 13:42]  You see: a colossal frog corpse
[01/06/2022 13:42]  a giant frog: a giant frog
[01/06/2022 13:42]  You see: a headless corpse
[01/06/2022 13:42]  a colossal frog: (tame)
[01/06/2022 13:42]  a colossal frog: a colossal frog
[01/06/2022 13:42]  a headless: a headless
[01/06/2022 13:42]  a corpser: a corpser
[01/06/2022 13:42]  Dagerja: Dagerja
[01/06/2022 13:42]  Durnehviir: Durnehviir (Young)
[01/06/2022 13:42]  You see: a mongbat corpse
[01/06/2022 13:42]  You see: a mongbat corpse
[01/06/2022 13:42]  You see: a mongbat corpse
[01/06/2022 13:42]  Dishiki: Dishiki (Young)
